PID   COMMAND          COMMAND
  589 jbd2/sda6-8      [jbd2/sda6-8]
  590 ext4-rsv-conver  [ext4-rsv-conver]
  591 jbd2/sdd7-8      [jbd2/sdd7-8]
  592 ext4-rsv-conver  [ext4-rsv-conver]
  594 jbd2/sda19-8     [jbd2/sda19-8]
  595 ext4-rsv-conver  [ext4-rsv-conver]
  596 logd             /system/bin/logd
  597 logd.daemon      {logd.daemon} /system/bin/logd
  598 logd.reader      {logd.reader} /system/bin/logd
  599 logd.writer      {logd.writer} /system/bin/logd
  600 logd.control     {logd.control} /system/bin/logd
  601 kworker/1:2      [kworker/1:2]
  602 kworker/1:3      [kworker/1:3]
  603 debuggerd        /system/bin/debuggerd
  604 debuggerd64      /system/bin/debuggerd64
  605 vold             /system/bin/vold --blkid_context=u:r:blkid:s0 --blkid_untrusted_context=u:r:blkid_untrusted:s0 --fsck_context=u:r:fsck:s0 --fsck_untrusted_context=u:r:fsck_untrusted:s0
  623 vold             /system/bin/vold --blkid_context=u:r:blkid:s0 --blkid_untrusted_context=u:r:blkid_untrusted:s0 --fsck_context=u:r:fsck:s0 --fsck_untrusted_context=u:r:fsck_untrusted:s0
  624 vold             /system/bin/vold --blkid_context=u:r:blkid:s0 --blkid_untrusted_context=u:r:blkid_untrusted:s0 --fsck_context=u:r:fsck:s0 --fsck_untrusted_context=u:r:fsck_untrusted:s0
  625 vold             /system/bin/vold --blkid_context=u:r:blkid:s0 --blkid_untrusted_context=u:r:blkid_untrusted:s0 --fsck_context=u:r:fsck:s0 --fsck_untrusted_context=u:r:fsck_untrusted:s0
  626 vold             /system/bin/vold --blkid_context=u:r:blkid:s0 --blkid_untrusted_context=u:r:blkid_untrusted:s0 --fsck_context=u:r:fsck:s0 --fsck_untrusted_context=u:r:fsck_untrusted:s0
  627 vold             /system/bin/vold --blkid_context=u:r:blkid:s0 --blkid_untrusted_context=u:r:blkid_untrusted:s0 --fsck_context=u:r:fsck:s0 --fsck_untrusted_context=u:r:fsck_untrusted:s0
  628 vold             /system/bin/vold --blkid_context=u:r:blkid:s0 --blkid_untrusted_context=u:r:blkid_untrusted:s0 --fsck_context=u:r:fsck:s0 --fsck_untrusted_context=u:r:fsck_untrusted:s0
  653 vold             /system/bin/vold --blkid_context=u:r:blkid:s0 --blkid_untrusted_context=u:r:blkid_untrusted:s0 --fsck_context=u:r:fsck:s0 --fsck_untrusted_context=u:r:fsck_untrusted:s0
  662 vold             /system/bin/vold --blkid_context=u:r:blkid:s0 --blkid_untrusted_context=u:r:blkid_untrusted:s0 --fsck_context=u:r:fsck:s0 --fsck_untrusted_context=u:r:fsck_untrusted:s0
  663 vold             /system/bin/vold --blkid_context=u:r:blkid:s0 --blkid_untrusted_context=u:r:blkid_untrusted:s0 --fsck_context=u:r:fsck:s0 --fsck_untrusted_context=u:r:fsck_untrusted:s0
  608 debuggerd64:sig  debuggerd64:signaller
  609 debuggerd:sig    debuggerd:signaller
  610 kworker/1:1H     [kworker/1:1H]
  629 lpass_IPCRTR     [lpass_IPCRTR]
  630 LOOPBACK         [LOOPBACK]
  631 irq/172-arm-smm  [irq/172-arm-smm]
  643 msm_slim_qmi_cl  [msm_slim_qmi_cl]
  644 qmi_hndl0000000  [qmi_hndl0000000]
  645 qmi_hndl0000000  [qmi_hndl0000000]
  649 irq/288-wcd9xxx  [irq/288-wcd9xxx]
  650 LOOPBACK         [LOOPBACK]
  651 dsps_IPCRTR      [dsps_IPCRTR]
  660 qmi_hndl0000000  [qmi_hndl0000000]
  694 healthd          /sbin/healthd
  698 rmt_storage      /system/bin/rmt_storage
  905 rmt_storage      /system/bin/rmt_storage
  906 rmt_storage      /system/bin/rmt_storage
  907 rmt_storage      /system/bin/rmt_storage
  908 rmt_storage      /system/bin/rmt_storage
  699 tftp_server      /system/bin/tftp_server
  704 pm-service       system/bin/pm-service
  724 POSIX timer 0    {POSIX timer 0} system/bin/pm-service
  725 POSIX timer 1    {POSIX timer 1} system/bin/pm-service
  730 pm-service       system/bin/pm-service
  732 Binder:704_1     {Binder:704_1} system/bin/pm-service
  737 Binder:704_2     {Binder:704_2} system/bin/pm-service
  708 qseecomd         /system/bin/qseecomd
  714 lmkd             /system/bin/lmkd
  715 servicemanager   /system/bin/servicemanager
  718 surfaceflinger   /system/bin/surfaceflinger
  744 Binder:718_1     {Binder:718_1} /system/bin/surfaceflinger
  745 DispSync         {DispSync} /system/bin/surfaceflinger
  748 Binder:718_2     {Binder:718_2} /system/bin/surfaceflinger
  821 POSIX timer 0    {POSIX timer 0} /system/bin/surfaceflinger
  822 EventThread      {EventThread} /system/bin/surfaceflinger
  823 POSIX timer 1    {POSIX timer 1} /system/bin/surfaceflinger
  825 EventThread      {EventThread} /system/bin/surfaceflinger
  837 SDM_EventThread  {SDM_EventThread} /system/bin/surfaceflinger
  838 surfaceflinger   /system/bin/surfaceflinger
  839 HWC_UeventThrea  {HWC_UeventThrea} /system/bin/surfaceflinger
  840 VSyncThread      {VSyncThread} /system/bin/surfaceflinger
  844 EventControl     {EventControl} /system/bin/surfaceflinger
  728 qseecomd         /system/bin/qseecomd
  736 qseecomd         /system/bin/qseecomd
  738 qseecomd         /system/bin/qseecomd
  739 qseecomd         /system/bin/qseecomd
  740 qseecomd         /system/bin/qseecomd
  741 qseecomd         /system/bin/qseecomd
  742 qseecomd         /system/bin/qseecomd
